Century,Word Diversity,Number of Words,Average Word Length,Number of Adjectives,Number of Adpositions,Number of Adverbs,Number of Conjunctions,Number of Determiners,Number of Nouns,Number of Numerals,Number of Particles,Number of Pronouns,Number of Verbs
16,0.5802919708029197,822,4.458637469586375,0.08637469586374696,0.1070559610705596,0.06934306569343066,0.0535279805352798,0.1070559610705596,0.2688564476885645,0.0024330900243309003,0.031630170316301706,0.08880778588807786,0.18491484184914841,
16,0.4844124700239808,2085,4.658513189448441,0.1170263788968825,0.09256594724220624,0.06618705035971223,0.05947242206235012,0.10119904076738609,0.2671462829736211,0.002398081534772182,0.02446043165467626,0.08920863309352518,0.1803357314148681,
16,0.6353166986564299,521,4.537428023032629,0.09980806142034548,0.11516314779270634,0.04798464491362764,0.044145873320537425,0.09980806142034548,0.2763915547024952,0.0,0.030710172744721688,0.09788867562380038,0.18618042226487524,
16,0.678714859437751,249,4.228915662650603,0.08835341365461848,0.08835341365461848,0.0642570281124498,0.07630522088353414,0.05220883534136546,0.24497991967871485,0.0,0.012048192771084338,0.1285140562248996,0.24497991967871485,
16,0.6714285714285714,210,4.328571428571428,0.12380952380952381,0.06190476190476191,0.09047619047619047,0.03333333333333333,0.07142857142857142,0.2714285714285714,0.0,0.02857142857142857,0.06190476190476191,0.2571428571428571,
16,0.6205128205128205,390,4.4,0.08717948717948718,0.09487179487179487,0.046153846153846156,0.07179487179487179,0.10256410256410256,0.29743589743589743,0.0,0.03076923076923077,0.08461538461538462,0.18461538461538463,
16,0.5806451612903226,527,4.480075901328274,0.07590132827324478,0.11195445920303605,0.07400379506641366,0.06072106261859583,0.10056925996204934,0.2618595825426945,0.0,0.024667931688804556,0.0777988614800759,0.2125237191650854,
16,0.7230769230769231,130,4.184615384615385,0.16923076923076924,0.09230769230769231,0.03076923076923077,0.05384615384615385,0.1076923076923077,0.26153846153846155,0.0,0.023076923076923078,0.06153846153846154,0.2,
16,0.6859504132231405,242,4.095041322314049,0.08677685950413223,0.07024793388429752,0.05785123966942149,0.08264462809917356,0.10743801652892562,0.19834710743801653,0.0,0.03305785123966942,0.10330578512396695,0.2603305785123967,
16,0.6571428571428571,140,4.121428571428571,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.07142857142857142,0.06428571428571428,0.29285714285714287,0.0,0.02857142857142857,0.14285714285714285,0.14285714285714285,
16,0.5600393700787402,1016,4.619094488188976,0.14763779527559054,0.09350393700787402,0.04921259842519685,0.05905511811023622,0.10236220472440945,0.3248031496062992,0.002952755905511811,0.022637795275590553,0.045275590551181105,0.15255905511811024,
16,0.8111111111111111,90,4.2,0.12222222222222222,0.1,0.044444444444444446,0.03333333333333333,0.12222222222222222,0.28888888888888886,0.0,0.022222222222222223,0.12222222222222222,0.14444444444444443,
16,0.6811594202898551,207,4.405797101449275,0.15458937198067632,0.0966183574879227,0.07246376811594203,0.03864734299516908,0.06280193236714976,0.26570048309178745,0.0,0.03864734299516908,0.057971014492753624,0.20772946859903382,
16,0.6422222222222222,450,4.257777777777778,0.09555555555555556,0.12,0.05555555555555555,0.06666666666666667,0.1111111111111111,0.2911111111111111,0.006666666666666667,0.013333333333333334,0.07111111111111111,0.1688888888888889,
16,0.6357758620689655,464,4.420258620689655,0.10560344827586207,0.09698275862068965,0.05818965517241379,0.05387931034482758,0.11637931034482758,0.30603448275862066,0.0021551724137931034,0.023706896551724137,0.07327586206896551,0.16379310344827586,
16,0.6563467492260062,323,4.13312693498452,0.10526315789473684,0.10835913312693499,0.10835913312693499,0.04024767801857585,0.09287925696594428,0.20743034055727555,0.009287925696594427,0.021671826625386997,0.09287925696594428,0.21052631578947367,
16,0.8070175438596491,114,4.359649122807017,0.14035087719298245,0.10526315789473684,0.06140350877192982,0.02631578947368421,0.11403508771929824,0.32456140350877194,0.0,0.043859649122807015,0.03508771929824561,0.14912280701754385,
16,0.7370892018779343,213,4.272300469483568,0.07981220657276995,0.09389671361502347,0.046948356807511735,0.06103286384976526,0.07042253521126761,0.3286384976525822,0.004694835680751174,0.014084507042253521,0.10328638497652583,0.19718309859154928,
16,0.6987951807228916,166,4.0,0.10843373493975904,0.0963855421686747,0.08433734939759036,0.03614457831325301,0.10240963855421686,0.25903614457831325,0.0,0.060240963855421686,0.07228915662650602,0.18072289156626506,
16,0.7590361445783133,166,4.620481927710843,0.0783132530120482,0.10843373493975904,0.05421686746987952,0.05421686746987952,0.1566265060240964,0.27710843373493976,0.0,0.030120481927710843,0.04819277108433735,0.1927710843373494,
16,0.7251461988304093,171,4.309941520467836,0.09941520467836257,0.11695906432748537,0.05263157894736842,0.06432748538011696,0.14035087719298245,0.28654970760233917,0.0,0.005847953216374269,0.05847953216374269,0.17543859649122806,
